episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_fdd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,execution_time,test,algorithm,cluster,replicas,config,acceptance_rate
4,59.4,0.01,99.0,1.0,98.0,1.0,0.0,0.0,422.18,4.4,20.6,0.71,0.05,DQN_c8_r6,DQN,8,6,c8_r6,0.99
5,52.56,0.0,100.0,0.0,92.0,8.0,0.0,0.0,518.78,9.76,16.81,0.8,0.06,DQN_c8_r6,DQN,8,6,c8_r6,1.0
6,59.82,0.0,100.0,0.0,98.0,2.0,0.0,0.0,434.15,9.8,18.41,0.69,0.05,DQN_c8_r6,DQN,8,6,c8_r6,1.0
7,49.62,0.0,100.0,0.0,93.0,7.0,0.0,0.0,479.08,19.36,20.76,0.8,0.06,DQN_c8_r6,DQN,8,6,c8_r6,1.0
8,52.42,0.0,100.0,0.0,99.0,1.0,0.0,0.0,423.83,29.48,14.27,0.46,0.05,DQN_c8_r6,DQN,8,6,c8_r6,1.0
9,61.26,0.0,100.0,0.0,100.0,0.0,0.0,0.0,407.84,7.7,20.34,0.64,0.05,DQN_c8_r6,DQN,8,6,c8_r6,1.0
10,59.99,0.0,100.0,0.0,100.0,0.0,0.0,0.0,398.86,5.94,19.93,0.72,0.05,DQN_c8_r6,DQN,8,6,c8_r6,1.0
11,60.25,0.0,100.0,0.0,99.0,1.0,0.0,0.0,464.98,13.74,17.33,0.57,0.06,DQN_c8_r6,DQN,8,6,c8_r6,1.0
12,57.65,0.01,99.0,1.0,93.0,6.0,0.0,0.0,448.07,5.29,15.01,0.7,0.06,DQN_c8_r6,DQN,8,6,c8_r6,0.99
13,62.65,0.0,100.0,0.0,99.0,1.0,0.0,0.0,460.34,7.48,18.57,0.55,0.05,DQN_c8_r6,DQN,8,6,c8_r6,1.0
14,59.81,0.01,99.0,1.0,93.0,6.0,0.0,0.0,414.42,6.39,17.23,0.64,0.06,DQN_c8_r6,DQN,8,6,c8_r6,0.99
15,63.14,0.0,100.0,0.0,99.0,1.0,0.0,0.0,399.4,4.56,20.35,0.65,0.05,DQN_c8_r6,DQN,8,6,c8_r6,1.0
16,61.37,0.0,100.0,0.0,100.0,0.0,0.0,0.0,438.53,16.92,18.57,0.51,0.05,DQN_c8_r6,DQN,8,6,c8_r6,1.0
17,62.65,0.0,100.0,0.0,98.0,2.0,0.0,0.0,474.36,4.02,18.32,0.6,0.05,DQN_c8_r6,DQN,8,6,c8_r6,1.0
18,52.34,0.01,99.0,1.0,87.0,12.0,0.0,0.0,479.2,8.16,15.14,0.79,0.06,DQN_c8_r6,DQN,8,6,c8_r6,0.99
19,63.32,0.0,100.0,0.0,94.0,6.0,0.0,0.0,449.87,6.4,19.88,0.6,0.06,DQN_c8_r6,DQN,8,6,c8_r6,1.0
20,63.04,0.0,100.0,0.0,100.0,0.0,0.0,0.0,448.84,5.0,20.03,0.61,0.05,DQN_c8_r6,DQN,8,6,c8_r6,1.0
21,52.31,0.0,100.0,0.0,92.0,8.0,0.0,0.0,471.13,15.46,17.77,0.7,0.06,DQN_c8_r6,DQN,8,6,c8_r6,1.0
22,62.02,0.0,100.0,0.0,98.0,2.0,0.0,0.0,451.45,8.98,16.73,0.54,0.05,DQN_c8_r6,DQN,8,6,c8_r6,1.0
23,52.31,0.01,99.0,1.0,92.0,7.0,0.0,0.0,510.95,17.17,17.77,0.65,0.06,DQN_c8_r6,DQN,8,6,c8_r6,0.99
24,55.69,0.0,100.0,0.0,96.0,4.0,0.0,0.0,441.15,19.94,19.85,0.66,0.06,DQN_c8_r6,DQN,8,6,c8_r6,1.0
25,39.17,0.13,87.0,13.0,42.0,45.0,0.0,0.0,421.58,14.94,14.21,0.6,0.08,DQN_c8_r6,DQN,8,6,c8_r6,0.87
26,48.52,0.07,93.0,7.0,48.0,45.0,0.0,0.0,386.42,4.0,10.23,0.78,0.08,DQN_c8_r6,DQN,8,6,c8_r6,0.93
27,61.0,0.0,100.0,0.0,98.0,2.0,0.0,0.0,469.87,6.95,20.14,0.64,0.05,DQN_c8_r6,DQN,8,6,c8_r6,1.0
28,59.96,0.0,100.0,0.0,96.0,4.0,0.0,0.0,463.47,6.2,22.03,0.66,0.06,DQN_c8_r6,DQN,8,6,c8_r6,1.0
29,53.9,0.0,100.0,0.0,99.0,1.0,0.0,0.0,449.21,9.94,22.61,0.77,0.05,DQN_c8_r6,DQN,8,6,c8_r6,1.0
30,52.07,0.04,96.0,4.0,87.0,9.0,0.0,0.0,455.84,9.66,14.02,0.68,0.06,DQN_c8_r6,DQN,8,6,c8_r6,0.96
1,52.46,0.0,100.0,0.0,90.0,10.0,0.0,0.0,472.21,20.8,19.75,0.71,0.06,DQN_c8_r8,DQN,8,8,c8_r8,1.0
2,53.67,0.02,98.0,2.0,91.0,7.0,0.0,0.0,445.97,22.38,22.24,0.54,0.06,DQN_c8_r8,DQN,8,8,c8_r8,0.98
3,36.23,0.11,89.0,11.0,10.0,79.0,0.0,0.0,461.09,19.2,12.81,0.71,0.1,DQN_c8_r8,DQN,8,8,c8_r8,0.89
4,60.83,0.01,99.0,1.0,91.0,8.0,0.0,0.0,411.12,8.92,23.18,0.62,0.06,DQN_c8_r8,DQN,8,8,c8_r8,0.99
5,52.36,0.0,100.0,0.0,92.0,8.0,0.0,0.0,518.84,9.76,21.22,0.8,0.06,DQN_c8_r8,DQN,8,8,c8_r8,1.0
6,60.41,0.0,100.0,0.0,96.0,4.0,0.0,0.0,411.72,7.64,23.27,0.72,0.06,DQN_c8_r8,DQN,8,8,c8_r8,1.0
7,49.77,0.0,100.0,0.0,93.0,7.0,0.0,0.0,477.81,19.36,25.54,0.79,0.06,DQN_c8_r8,DQN,8,8,c8_r8,1.0
8,59.05,0.0,100.0,0.0,92.0,8.0,0.0,0.0,430.75,8.28,19.97,0.62,0.06,DQN_c8_r8,DQN,8,8,c8_r8,1.0
9,57.18,0.01,99.0,1.0,89.0,10.0,0.0,0.0,425.26,11.29,23.14,0.67,0.06,DQN_c8_r8,DQN,8,8,c8_r8,0.99
10,60.13,0.0,100.0,0.0,95.0,5.0,0.0,0.0,383.45,8.41,23.95,0.62,0.06,DQN_c8_r8,DQN,8,8,c8_r8,1.0
11,56.15,0.0,100.0,0.0,97.0,3.0,0.0,0.0,466.38,21.16,21.81,0.62,0.06,DQN_c8_r8,DQN,8,8,c8_r8,1.0
12,58.54,0.01,99.0,1.0,93.0,6.0,0.0,0.0,427.21,4.66,18.9,0.72,0.06,DQN_c8_r8,DQN,8,8,c8_r8,0.99
13,56.43,0.01,99.0,1.0,91.0,8.0,0.0,0.0,464.28,8.7,17.98,0.75,0.06,DQN_c8_r8,DQN,8,8,c8_r8,0.99
14,59.56,0.01,99.0,1.0,93.0,6.0,0.0,0.0,403.93,6.66,22.36,0.65,0.06,DQN_c8_r8,DQN,8,8,c8_r8,0.99
15,61.09,0.01,99.0,1.0,90.0,9.0,0.0,0.0,331.84,7.95,18.37,0.73,0.06,DQN_c8_r8,DQN,8,8,c8_r8,0.99
16,65.95,0.0,100.0,0.0,94.0,6.0,0.0,0.0,432.71,7.82,25.62,0.49,0.06,DQN_c8_r8,DQN,8,8,c8_r8,1.0
17,62.56,0.0,100.0,0.0,97.0,3.0,0.0,0.0,473.15,4.54,23.25,0.58,0.06,DQN_c8_r8,DQN,8,8,c8_r8,1.0
18,55.07,0.01,99.0,1.0,87.0,12.0,0.0,0.0,463.74,7.08,19.62,0.74,0.06,DQN_c8_r8,DQN,8,8,c8_r8,0.99
19,63.93,0.0,100.0,0.0,91.0,9.0,0.0,0.0,445.28,8.1,22.73,0.56,0.06,DQN_c8_r8,DQN,8,8,c8_r8,1.0
20,62.97,0.0,100.0,0.0,97.0,3.0,0.0,0.0,449.66,6.37,25.4,0.52,0.05,DQN_c8_r8,DQN,8,8,c8_r8,1.0
21,47.93,0.01,99.0,1.0,87.0,12.0,0.0,0.0,512.57,20.53,21.34,0.65,0.06,DQN_c8_r8,DQN,8,8,c8_r8,0.99
22,61.07,0.0,100.0,0.0,97.0,3.0,0.0,0.0,449.1,12.03,20.74,0.54,0.05,DQN_c8_r8,DQN,8,8,c8_r8,1.0
23,51.86,0.01,99.0,1.0,92.0,7.0,0.0,0.0,501.37,17.54,22.77,0.67,0.06,DQN_c8_r8,DQN,8,8,c8_r8,0.99
24,55.58,0.0,100.0,0.0,96.0,4.0,0.0,0.0,439.81,20.9,24.22,0.64,0.06,DQN_c8_r8,DQN,8,8,c8_r8,1.0
25,38.41,0.12,88.0,12.0,26.0,62.0,0.0,0.0,409.41,18.46,13.9,0.63,0.09,DQN_c8_r8,DQN,8,8,c8_r8,0.88
26,50.27,0.06,94.0,6.0,34.0,60.0,0.0,0.0,378.66,4.3,10.36,0.79,0.09,DQN_c8_r8,DQN,8,8,c8_r8,0.94
27,60.36,0.0,100.0,0.0,94.0,6.0,0.0,0.0,421.02,7.46,23.83,0.71,0.06,DQN_c8_r8,DQN,8,8,c8_r8,1.0
28,57.82,0.0,100.0,0.0,93.0,7.0,0.0,0.0,488.74,16.36,24.06,0.57,0.06,DQN_c8_r8,DQN,8,8,c8_r8,1.0
29,53.68,0.0,100.0,0.0,92.0,8.0,0.0,0.0,440.26,16.12,24.9,0.68,0.06,DQN_c8_r8,DQN,8,8,c8_r8,1.0
30,51.95,0.04,96.0,4.0,87.0,9.0,0.0,0.0,450.59,9.22,18.04,0.73,0.06,DQN_c8_r8,DQN,8,8,c8_r8,0.96
1,,,230.0,20.0,,,,,508.5,9.4,13.11,0.63,0.28,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,0.92
2,,,233.0,17.0,,,,,413.48,12.49,17.04,0.75,0.34,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,0.932
3,,,232.0,18.0,,,,,648.53,9.0,12.9,0.42,0.29,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,0.928
4,,,233.0,17.0,,,,,679.42,13.32,13.67,0.35,0.3,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,0.932
5,,,246.0,4.0,,,,,546.05,11.1,13.46,0.67,0.22,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,0.984
6,,,226.0,24.0,,,,,656.78,11.72,12.49,0.61,0.24,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,0.904
7,,,216.0,34.0,,,,,594.73,15.12,12.47,0.15,0.28,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,0.864
8,,,249.0,1.0,,,,,424.18,33.96,10.56,0.68,0.26,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,0.996
9,,,212.0,38.0,,,,,527.36,14.12,13.59,0.42,0.28,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,0.848
10,,,242.0,8.0,,,,,648.85,8.75,11.87,0.69,0.26,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,0.968
1,,,211.0,39.0,,,,,666.54,28.88,13.91,0.29,0.26,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.844
2,,,201.0,49.0,,,,,555.6,9.6,14.11,0.7,0.64,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.804
3,,,228.0,22.0,,,,,654.43,25.27,13.4,0.24,0.38,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.912
4,,,234.0,16.0,,,,,576.59,18.23,16.4,0.48,0.28,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.936
5,,,249.0,1.0,,,,,602.77,18.72,18.2,0.77,0.27,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.996
6,,,214.0,36.0,,,,,520.73,38.68,10.93,0.65,0.29,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.856
7,,,239.0,11.0,,,,,403.32,38.84,14.79,0.67,0.31,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.956
8,,,211.0,39.0,,,,,688.81,32.62,13.54,0.28,0.33,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.844
9,,,237.0,13.0,,,,,421.52,21.56,18.77,0.41,0.29,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.948
1,,,228.0,22.0,,,,,760.09,23.39,32.08,0.47,0.74,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.912
2,,,227.0,23.0,,,,,586.3,39.22,31.86,0.68,0.62,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.908
3,,,241.0,9.0,,,,,682.48,24.07,40.32,0.48,0.41,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.964
4,,,235.0,15.0,,,,,665.61,17.22,30.34,0.4,0.5,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.94
5,,,217.0,33.0,,,,,676.32,16.51,36.15,0.39,0.39,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.868
6,,,230.0,20.0,,,,,573.89,24.68,41.57,0.74,0.37,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.92
7,,,222.0,28.0,,,,,584.37,24.6,28.82,0.39,0.51,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.888
8,,,230.0,20.0,,,,,638.2,11.58,39.8,0.63,0.38,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.92
9,,,238.0,12.0,,,,,687.71,31.13,20.31,0.44,0.54,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.952
10,,,221.0,29.0,,,,,714.32,14.55,31.07,0.49,0.76,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.884
1,,,211.0,39.0,,,,,658.26,9.33,13.15,0.17,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.844
2,,,216.0,34.0,,,,,652.71,8.91,13.0,0.16,0.09,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.864
3,,,227.0,23.0,,,,,652.81,9.39,12.2,0.14,0.09,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.908
4,,,221.0,29.0,,,,,635.33,9.91,14.68,0.18,0.1,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.884
5,,,223.0,27.0,,,,,628.7,9.52,12.97,0.26,0.1,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.892
6,,,222.0,28.0,,,,,638.21,9.65,13.83,0.13,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.888
7,,,229.0,21.0,,,,,634.15,9.87,13.05,0.19,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.916
8,,,223.0,27.0,,,,,640.18,9.91,12.38,0.13,0.09,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.892
9,,,213.0,37.0,,,,,635.01,9.77,13.38,0.15,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.852
10,,,218.0,32.0,,,,,637.16,9.61,13.65,0.22,0.09,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.872
11,,,219.0,31.0,,,,,643.01,9.79,12.87,0.18,0.09,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.876
12,,,216.0,34.0,,,,,640.47,9.71,14.64,0.13,0.09,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.864
13,,,215.0,35.0,,,,,638.65,9.72,12.12,0.21,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.86
14,,,224.0,26.0,,,,,642.04,9.86,12.86,0.21,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.896
15,,,217.0,33.0,,,,,638.55,9.75,13.9,0.17,0.09,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.868
16,,,219.0,31.0,,,,,641.48,9.77,14.5,0.13,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.876
17,,,220.0,30.0,,,,,647.07,9.73,13.52,0.16,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.88
18,,,226.0,24.0,,,,,650.51,9.68,13.11,0.17,0.09,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.904
19,,,219.0,31.0,,,,,648.26,9.64,12.22,0.19,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.876
20,,,222.0,28.0,,,,,649.19,9.56,12.2,0.19,0.09,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.888
21,,,222.0,28.0,,,,,645.88,9.64,11.95,0.22,0.09,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.888
22,,,227.0,23.0,,,,,646.27,9.68,13.95,0.11,0.13,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.908
23,,,214.0,36.0,,,,,646.06,9.73,12.81,0.16,0.11,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.856
24,,,219.0,31.0,,,,,644.46,9.69,12.83,0.21,0.09,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.876
25,,,220.0,30.0,,,,,648.16,9.68,13.96,0.15,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.88
26,,,221.0,29.0,,,,,649.35,9.77,13.42,0.18,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.884
27,,,220.0,30.0,,,,,651.08,9.71,13.73,0.22,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.88
28,,,218.0,32.0,,,,,651.36,9.69,13.97,0.17,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.872
29,,,215.0,35.0,,,,,654.82,9.69,13.53,0.14,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.86
30,,,215.0,35.0,,,,,655.29,9.67,12.35,0.17,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.86
1,,,222.0,28.0,,,,,638.64,28.18,14.29,0.13,0.11,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.888
2,,,225.0,25.0,,,,,665.11,27.36,15.71,0.11,0.11,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.9
3,,,231.0,19.0,,,,,689.81,26.47,13.8,0.11,0.09,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.924
4,,,224.0,26.0,,,,,692.93,27.13,15.18,0.17,0.09,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.896
5,,,234.0,16.0,,,,,696.03,27.0,13.75,0.21,0.1,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.936
6,,,236.0,14.0,,,,,693.85,26.95,13.74,0.21,0.11,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.944
7,,,227.0,23.0,,,,,688.1,27.45,15.18,0.23,0.11,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.908
8,,,235.0,15.0,,,,,688.57,27.87,12.98,0.17,0.12,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.94
9,,,234.0,16.0,,,,,691.56,27.92,15.0,0.21,0.1,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.936
10,,,222.0,28.0,,,,,686.35,27.79,14.8,0.1,0.17,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.888
11,,,227.0,23.0,,,,,679.71,27.95,13.86,0.22,0.11,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.908
12,,,233.0,17.0,,,,,673.56,27.84,12.35,0.21,0.13,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.932
13,,,226.0,24.0,,,,,678.46,27.88,14.29,0.22,0.09,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.904
14,,,225.0,25.0,,,,,673.99,27.84,14.55,0.16,0.1,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.9
15,,,224.0,26.0,,,,,674.69,27.73,14.41,0.11,0.09,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.896
16,,,233.0,17.0,,,,,672.92,27.86,14.86,0.12,0.09,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.932
17,,,228.0,22.0,,,,,674.21,27.76,14.61,0.07,0.09,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.912
18,,,226.0,24.0,,,,,676.8,27.72,15.46,0.19,0.09,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.904
19,,,230.0,20.0,,,,,677.12,27.77,15.05,0.15,0.09,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.92
20,,,220.0,30.0,,,,,673.81,27.78,14.95,0.17,0.09,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.88
21,,,227.0,23.0,,,,,672.65,27.77,15.79,0.14,0.09,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.908
22,,,228.0,22.0,,,,,673.59,27.62,15.57,0.14,0.09,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.912
23,,,230.0,20.0,,,,,675.84,27.62,15.38,0.16,0.11,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.92
24,,,226.0,24.0,,,,,672.53,27.73,13.06,0.2,0.09,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.904
25,,,227.0,23.0,,,,,671.52,27.82,13.88,0.16,0.09,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.908
26,,,237.0,13.0,,,,,668.55,27.87,15.56,0.21,0.12,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.948
27,,,223.0,27.0,,,,,671.56,27.83,17.22,0.11,0.37,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.892
28,,,226.0,24.0,,,,,673.41,27.85,15.03,0.12,0.16,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.904
29,,,222.0,28.0,,,,,674.98,27.89,14.21,0.19,0.1,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.888
30,,,227.0,23.0,,,,,676.48,27.86,14.25,0.11,0.11,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.908
1,,,244.0,6.0,,,,,668.56,30.94,18.49,0.2,0.11,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.976
2,,,239.0,11.0,,,,,701.4,29.83,18.37,0.19,0.12,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.956
