episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,avg_power,execution_time,test,algorithm,cluster,replicas,config,acceptance_rate
10,19.95,0.23,77.0,23.0,6.0,71.0,0.0,0.0,396.54,50.76,14.15,0.77,67.18,0.1,DQN_c8_r6,DQN,8,6,c8_r6,0.77
11,9.74,0.28,72.0,28.0,5.0,67.0,0.0,0.0,317.13,60.86,11.41,0.76,88.0,0.1,DQN_c8_r6,DQN,8,6,c8_r6,0.72
12,38.83,0.13,87.0,13.0,7.0,80.0,0.0,0.0,413.91,39.24,8.95,0.74,72.0,0.11,DQN_c8_r6,DQN,8,6,c8_r6,0.87
13,21.36,0.21,79.0,21.0,6.0,73.0,0.0,0.0,326.69,59.42,9.7,0.75,86.5,0.1,DQN_c8_r6,DQN,8,6,c8_r6,0.79
14,20.91,0.24,76.0,24.0,9.0,67.0,0.0,0.0,423.41,41.76,10.12,0.73,65.0,0.1,DQN_c8_r6,DQN,8,6,c8_r6,0.76
15,25.41,0.17,83.0,17.0,13.0,70.0,0.0,0.0,430.37,58.94,11.34,0.74,81.5,0.1,DQN_c8_r6,DQN,8,6,c8_r6,0.83
16,40.46,0.12,88.0,12.0,9.0,79.0,0.0,0.0,414.84,40.39,10.0,0.74,64.29,0.11,DQN_c8_r6,DQN,8,6,c8_r6,0.88
17,13.05,0.26,74.0,26.0,6.0,68.0,0.0,0.0,374.1,60.2,10.13,0.75,83.63,0.1,DQN_c8_r6,DQN,8,6,c8_r6,0.74
18,24.86,0.21,79.0,21.0,2.0,77.0,0.0,0.0,420.66,41.18,11.86,0.77,69.0,0.1,DQN_c8_r6,DQN,8,6,c8_r6,0.79
19,23.05,0.22,78.0,22.0,4.0,74.0,0.0,0.0,448.91,41.4,11.94,0.76,70.5,0.1,DQN_c8_r6,DQN,8,6,c8_r6,0.78
20,35.67,0.13,87.0,13.0,9.0,78.0,0.0,0.0,469.6,48.0,11.89,0.74,65.5,0.11,DQN_c8_r6,DQN,8,6,c8_r6,0.87
21,35.86,0.04,96.0,4.0,61.0,35.0,0.0,0.0,658.3,64.0,9.56,0.5,158.47,0.08,DQN_c8_r6,DQN,8,6,c8_r6,0.96
22,25.3,0.15,85.0,15.0,28.0,57.0,0.0,0.0,453.97,64.0,8.91,0.69,102.5,0.1,DQN_c8_r6,DQN,8,6,c8_r6,0.85
23,28.37,0.11,89.0,11.0,30.0,59.0,0.0,0.0,530.12,63.46,9.36,0.69,131.87,0.09,DQN_c8_r6,DQN,8,6,c8_r6,0.89
24,17.12,0.22,78.0,22.0,2.0,76.0,0.0,0.0,375.72,61.27,7.71,0.77,93.51,0.1,DQN_c8_r6,DQN,8,6,c8_r6,0.78
25,59.91,0.07,93.0,7.0,47.0,46.0,0.0,0.0,493.89,16.05,15.83,0.5,52.5,0.09,DQN_c8_r6,DQN,8,6,c8_r6,0.93
26,53.15,0.1,90.0,10.0,38.0,52.0,0.0,0.0,431.56,14.89,13.26,0.68,52.0,0.09,DQN_c8_r6,DQN,8,6,c8_r6,0.9
27,34.17,0.16,84.0,16.0,5.0,79.0,0.0,0.0,412.9,42.07,13.27,0.73,70.5,0.11,DQN_c8_r6,DQN,8,6,c8_r6,0.84
28,18.2,0.19,81.0,19.0,7.0,74.0,0.0,0.0,541.68,62.11,13.34,0.77,84.5,0.1,DQN_c8_r6,DQN,8,6,c8_r6,0.81
29,27.05,0.18,82.0,18.0,3.0,79.0,0.0,0.0,416.57,46.76,10.95,0.78,82.5,0.1,DQN_c8_r6,DQN,8,6,c8_r6,0.82
30,23.1,0.19,81.0,19.0,5.0,76.0,0.0,0.0,345.72,59.37,9.96,0.75,92.0,0.1,DQN_c8_r6,DQN,8,6,c8_r6,0.81
1,15.65,0.22,78.0,22.0,3.0,75.0,0.0,0.0,326.35,64.0,6.16,0.81,100.0,0.1,DQN_c8_r8,DQN,8,8,c8_r8,0.78
2,35.3,0.14,86.0,14.0,3.0,83.0,0.0,0.0,326.83,50.8,8.24,0.73,77.0,0.12,DQN_c8_r8,DQN,8,8,c8_r8,0.86
3,69.7,0.03,97.0,3.0,74.0,23.0,0.0,0.0,567.11,8.59,22.05,0.5,42.51,0.08,DQN_c8_r8,DQN,8,8,c8_r8,0.97
4,41.61,0.1,90.0,10.0,2.0,88.0,0.0,0.0,321.54,46.72,8.78,0.8,75.5,0.11,DQN_c8_r8,DQN,8,8,c8_r8,0.9
5,32.92,0.05,95.0,5.0,43.0,52.0,0.0,0.0,616.17,64.0,10.8,0.7,130.5,0.14,DQN_c8_r8,DQN,8,8,c8_r8,0.95
