episode,ep_accepted_requests,ep_rejected_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,avg_power,execution_time
1,149.0,101.0,516.46,13.75,30.47,0.66,96.65,0.27
2,191.0,59.0,479.79,32.26,21.85,0.55,96.78,0.38
3,170.0,80.0,430.24,32.04,23.48,0.53,96.6,0.39
4,71.0,179.0,434.79,35.81,41.17,0.76,96.5,0.26
5,135.0,115.0,446.79,36.83,22.22,0.78,98.08,0.23
6,155.0,95.0,458.3,34.56,29.43,0.63,96.61,0.3
7,191.0,59.0,439.77,39.64,15.63,0.74,106.56,0.26
8,170.0,80.0,418.46,39.03,21.09,0.34,96.64,0.33
9,212.0,38.0,400.23,40.85,23.68,0.67,98.08,0.29
10,199.0,51.0,407.45,43.57,19.21,0.71,107.19,0.21
11,214.0,36.0,400.87,4.1,40.92,0.68,45.02,0.24
12,229.0,21.0,467.83,8.83,40.24,0.72,45.0,0.25
13,220.0,30.0,433.94,7.52,30.66,0.33,44.36,0.38
14,206.0,44.0,434.22,7.27,34.51,0.35,45.03,0.3
15,210.0,40.0,441.44,6.66,38.05,0.55,44.0,0.25
16,210.0,40.0,441.08,7.55,31.77,0.31,44.11,0.33
17,200.0,50.0,475.3,8.63,35.27,0.69,46.18,0.25
18,207.0,43.0,466.34,9.75,39.55,0.69,44.14,0.26
19,206.0,44.0,465.13,9.13,36.88,0.73,45.44,0.25
20,207.0,43.0,477.54,8.65,36.97,0.44,44.36,0.31
21,225.0,25.0,648.38,15.57,36.8,0.51,90.55,0.42
22,226.0,24.0,557.69,26.78,26.83,0.7,99.95,0.34
23,230.0,20.0,619.33,27.92,28.27,0.24,89.89,0.42
24,234.0,16.0,638.42,29.8,35.06,0.7,91.89,0.64
25,231.0,19.0,654.58,30.58,31.93,0.56,93.31,0.42
26,219.0,31.0,672.32,28.45,35.29,0.57,118.09,0.56
27,218.0,32.0,666.56,29.61,29.12,0.61,89.88,0.38
28,236.0,14.0,665.03,30.52,29.38,0.39,99.55,0.41
29,233.0,17.0,668.21,30.07,26.55,0.45,145.58,0.37
30,241.0,9.0,557.08,35.85,27.52,0.33,95.02,0.36
