episode,ep_accepted_requests,ep_rejected_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,avg_power,execution_time
1,228.0,22.0,494.78,31.86,39.17,0.88,77.65,0.35
2,227.0,23.0,471.39,28.0,40.59,0.75,76.81,0.66
3,238.0,12.0,502.17,23.74,41.33,0.76,75.86,0.46
4,227.0,23.0,495.32,28.36,36.99,0.79,76.6,0.42
5,230.0,20.0,471.91,29.07,41.77,0.87,104.08,0.37
6,231.0,19.0,508.72,29.54,41.63,0.87,77.72,0.33
7,226.0,24.0,515.37,27.41,38.48,0.78,75.83,0.42
8,225.0,25.0,513.77,27.84,41.13,0.86,75.5,0.28
9,229.0,21.0,513.59,27.87,36.0,0.77,88.07,0.51
10,229.0,21.0,508.44,28.28,40.22,0.88,75.5,0.29
11,250.0,0.0,361.02,63.76,24.37,0.87,152.82,0.51
12,250.0,0.0,499.27,63.76,21.83,0.87,97.52,0.57
13,250.0,0.0,487.72,63.78,24.64,0.87,108.89,0.62
14,250.0,0.0,489.62,63.8,21.76,0.87,98.73,0.49
15,250.0,0.0,483.84,63.84,23.52,0.75,109.2,0.66
16,250.0,0.0,502.44,60.33,38.99,0.69,98.88,1.12
17,250.0,0.0,519.92,60.85,23.51,0.87,107.26,0.45
18,250.0,0.0,538.97,61.25,22.93,0.88,152.63,0.42
19,250.0,0.0,541.63,61.54,24.64,0.87,109.43,0.48
20,250.0,0.0,533.93,61.76,23.75,0.87,109.57,0.56
21,233.0,17.0,516.75,32.0,40.04,0.87,88.1,0.35
22,250.0,0.0,543.03,33.34,44.71,0.85,113.19,0.97
23,230.0,20.0,585.12,32.91,42.39,0.88,113.26,0.53
24,221.0,29.0,558.5,36.36,32.56,0.75,94.81,0.88
25,237.0,13.0,555.39,35.48,41.45,0.87,88.13,0.74
26,225.0,25.0,532.64,34.94,37.15,0.87,88.42,0.51
27,235.0,15.0,532.08,34.52,40.02,0.88,86.74,0.56
28,231.0,19.0,533.62,34.2,41.9,0.87,88.07,0.57
29,238.0,12.0,534.66,33.95,38.09,0.87,86.58,0.42
30,223.0,27.0,540.01,33.76,41.22,0.88,88.1,0.47
