episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,avg_power,execution_time
1,63.79,0.0,100.0,0.0,100.0,0.0,0.0,0.0,384.5,16.48,23.38,0.8,102.32,0.06
2,69.65,0.0,100.0,0.0,100.0,0.0,0.0,0.0,365.75,19.94,24.96,0.61,78.14,0.06
3,75.53,0.0,100.0,0.0,99.0,1.0,0.0,0.0,402.05,3.88,25.75,0.72,42.54,0.07
4,70.84,0.0,100.0,0.0,98.0,2.0,0.0,0.0,397.62,5.03,22.67,0.81,75.58,0.06
5,61.79,0.0,100.0,0.0,97.0,3.0,0.0,0.0,432.42,13.48,23.1,0.78,134.25,0.08
6,73.44,0.0,100.0,0.0,99.0,1.0,0.0,0.0,383.9,4.41,24.07,0.72,72.62,0.07
7,57.32,0.0,100.0,0.0,100.0,0.0,0.0,0.0,403.91,16.0,27.58,0.86,152.9,0.06
8,71.81,0.0,100.0,0.0,100.0,0.0,0.0,0.0,386.99,2.96,21.66,0.74,92.0,0.06
9,67.27,0.0,100.0,0.0,100.0,0.0,0.0,0.0,330.91,4.0,25.48,0.88,108.15,0.06
10,75.03,0.0,100.0,0.0,100.0,0.0,0.0,0.0,371.1,7.32,24.69,0.62,66.46,0.06
11,71.12,0.0,100.0,0.0,99.0,1.0,0.0,0.0,365.33,3.4,22.85,0.77,88.73,0.06
12,70.97,0.0,100.0,0.0,96.0,4.0,0.0,0.0,403.98,5.84,20.15,0.79,72.38,0.07
13,65.19,0.0,100.0,0.0,98.0,2.0,0.0,0.0,418.47,16.65,20.38,0.79,89.66,0.06
14,73.55,0.0,100.0,0.0,99.0,1.0,0.0,0.0,396.82,3.41,24.64,0.69,65.07,0.06
15,72.12,0.0,100.0,0.0,100.0,0.0,0.0,0.0,383.92,6.48,24.43,0.71,81.5,0.06
16,78.77,0.0,100.0,0.0,100.0,0.0,0.0,0.0,355.05,3.14,27.71,0.65,64.66,0.06
17,69.06,0.0,100.0,0.0,99.0,1.0,0.0,0.0,419.14,4.22,26.97,0.83,79.8,0.06
18,65.43,0.01,99.0,1.0,97.0,2.0,0.0,0.0,487.77,4.51,26.12,0.87,69.32,0.06
19,73.32,0.0,100.0,0.0,98.0,2.0,0.0,0.0,363.74,6.07,24.71,0.68,70.89,0.06
20,70.29,0.0,100.0,0.0,100.0,0.0,0.0,0.0,380.38,8.86,25.0,0.78,65.5,0.06
21,58.51,0.0,100.0,0.0,99.0,1.0,0.0,0.0,452.34,21.02,22.2,0.69,170.65,0.06
22,65.0,0.0,100.0,0.0,99.0,1.0,0.0,0.0,393.54,15.95,20.72,0.75,102.51,0.07
23,57.39,0.0,100.0,0.0,99.0,1.0,0.0,0.0,488.89,19.84,21.55,0.86,123.55,0.07
24,66.89,0.0,100.0,0.0,98.0,2.0,0.0,0.0,365.96,16.27,24.26,0.68,95.4,0.07
25,74.84,0.0,100.0,0.0,98.0,2.0,0.0,0.0,411.83,5.8,25.36,0.68,52.62,0.07
26,73.94,0.0,100.0,0.0,100.0,0.0,0.0,0.0,395.88,4.0,21.48,0.76,52.0,0.06
27,71.09,0.0,100.0,0.0,100.0,0.0,0.0,0.0,395.11,3.34,24.96,0.78,70.6,0.07
28,67.76,0.0,100.0,0.0,98.0,2.0,0.0,0.0,415.73,15.89,25.26,0.72,84.52,0.07
29,69.89,0.0,100.0,0.0,99.0,1.0,0.0,0.0,416.46,12.73,27.26,0.73,82.89,0.07
30,68.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,389.92,4.0,21.86,0.86,92.57,0.06

