episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,avg_power,execution_time
1,11.35,0.25,75.0,25.0,4.0,71.0,0.0,0.0,347.43,64.0,6.9,0.79,100.0,0.11
2,28.01,0.18,82.0,18.0,3.0,79.0,0.0,0.0,338.43,51.16,8.63,0.76,77.0,0.12
3,70.87,0.02,98.0,2.0,83.0,15.0,0.0,0.0,583.01,6.12,19.4,0.63,42.51,0.07
4,26.67,0.2,80.0,20.0,2.0,78.0,0.0,0.0,330.99,43.88,9.18,0.79,75.5,0.1
5,30.68,0.07,93.0,7.0,51.0,42.0,0.0,0.0,643.66,62.97,10.52,0.7,130.5,0.09
6,28.92,0.17,83.0,17.0,6.0,77.0,0.0,0.0,412.95,49.99,9.05,0.76,72.0,0.11
7,33.47,0.06,94.0,6.0,49.0,45.0,0.0,0.0,559.1,64.0,9.91,0.61,150.0,0.09
8,12.4,0.24,76.0,24.0,1.0,75.0,0.0,0.0,403.33,63.33,8.88,0.79,92.0,0.1
9,35.49,0.06,94.0,6.0,52.0,42.0,0.0,0.0,555.18,64.0,10.61,0.72,108.0,0.09
10,19.95,0.23,77.0,23.0,6.0,71.0,0.0,0.0,396.54,50.76,14.15,0.77,67.18,0.1
11,9.74,0.28,72.0,28.0,5.0,67.0,0.0,0.0,317.13,60.86,11.41,0.76,88.0,0.1
12,38.83,0.13,87.0,13.0,7.0,80.0,0.0,0.0,413.91,39.24,8.95,0.74,72.0,0.11
13,21.36,0.21,79.0,21.0,6.0,73.0,0.0,0.0,326.69,59.42,9.7,0.75,86.5,0.1
14,20.91,0.24,76.0,24.0,9.0,67.0,0.0,0.0,423.41,41.76,10.12,0.73,65.0,0.1
15,25.41,0.17,83.0,17.0,13.0,70.0,0.0,0.0,430.37,58.94,11.34,0.74,81.5,0.1
16,40.46,0.12,88.0,12.0,9.0,79.0,0.0,0.0,414.84,40.39,10.0,0.74,64.29,0.11
17,13.05,0.26,74.0,26.0,6.0,68.0,0.0,0.0,374.1,60.2,10.13,0.75,83.63,0.1
18,24.86,0.21,79.0,21.0,2.0,77.0,0.0,0.0,420.66,41.18,11.86,0.77,69.0,0.1
19,23.05,0.22,78.0,22.0,4.0,74.0,0.0,0.0,448.91,41.4,11.94,0.76,70.5,0.1
20,35.67,0.13,87.0,13.0,9.0,78.0,0.0,0.0,469.6,48.0,11.89,0.74,65.5,0.11
21,35.86,0.04,96.0,4.0,61.0,35.0,0.0,0.0,658.3,64.0,9.56,0.5,158.47,0.08
22,25.3,0.15,85.0,15.0,28.0,57.0,0.0,0.0,453.97,64.0,8.91,0.69,102.5,0.1
23,28.37,0.11,89.0,11.0,30.0,59.0,0.0,0.0,530.12,63.46,9.36,0.69,131.87,0.09
24,17.12,0.22,78.0,22.0,2.0,76.0,0.0,0.0,375.72,61.27,7.71,0.77,93.51,0.1
25,59.91,0.07,93.0,7.0,47.0,46.0,0.0,0.0,493.89,16.05,15.83,0.5,52.5,0.09
26,53.15,0.1,90.0,10.0,38.0,52.0,0.0,0.0,431.56,14.89,13.26,0.68,52.0,0.09
27,34.17,0.16,84.0,16.0,5.0,79.0,0.0,0.0,412.9,42.07,13.27,0.73,70.5,0.11
28,18.2,0.19,81.0,19.0,7.0,74.0,0.0,0.0,541.68,62.11,13.34,0.77,84.5,0.1
29,27.05,0.18,82.0,18.0,3.0,79.0,0.0,0.0,416.57,46.76,10.95,0.78,82.5,0.1
30,23.1,0.19,81.0,19.0,5.0,76.0,0.0,0.0,345.72,59.37,9.96,0.75,92.0,0.1
