episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,avg_power,execution_time
1,65.24,0.0,100.0,0.0,100.0,0.0,0.0,0.0,391.13,16.0,17.78,0.76,100.32,0.05
2,69.62,0.0,100.0,0.0,100.0,0.0,0.0,0.0,366.36,19.14,20.02,0.63,77.0,0.06
3,72.42,0.0,100.0,0.0,100.0,0.0,0.0,0.0,419.15,4.0,22.09,0.85,42.63,0.06
4,71.86,0.0,100.0,0.0,100.0,0.0,0.0,0.0,403.74,4.0,19.35,0.73,75.53,0.06
5,63.71,0.0,100.0,0.0,100.0,0.0,0.0,0.0,411.1,8.8,20.36,0.76,130.99,0.05
6,71.36,0.0,100.0,0.0,100.0,0.0,0.0,0.0,386.98,12.02,17.82,0.62,72.4,0.05
7,57.55,0.0,100.0,0.0,100.0,0.0,0.0,0.0,404.79,16.0,22.02,0.85,151.9,0.05
8,71.18,0.0,100.0,0.0,100.0,0.0,0.0,0.0,392.22,2.8,17.55,0.75,92.0,0.05
9,67.28,0.0,100.0,0.0,100.0,0.0,0.0,0.0,330.91,4.0,19.03,0.88,108.08,0.05
10,78.45,0.0,100.0,0.0,100.0,0.0,0.0,0.0,400.29,5.96,19.99,0.46,65.99,0.06
11,70.87,0.0,100.0,0.0,100.0,0.0,0.0,0.0,356.06,3.12,18.91,0.79,88.39,0.05
12,72.07,0.0,100.0,0.0,100.0,0.0,0.0,0.0,405.56,4.54,18.16,0.75,72.06,0.06
13,66.27,0.0,100.0,0.0,100.0,0.0,0.0,0.0,418.5,11.38,18.27,0.79,89.66,0.06
14,73.79,0.0,100.0,0.0,100.0,0.0,0.0,0.0,390.64,3.12,19.3,0.72,65.04,0.06
15,69.5,0.0,100.0,0.0,100.0,0.0,0.0,0.0,399.95,3.72,18.22,0.84,81.5,0.05
16,79.08,0.0,100.0,0.0,100.0,0.0,0.0,0.0,355.97,3.04,21.12,0.64,64.46,0.06
17,69.17,0.0,100.0,0.0,100.0,0.0,0.0,0.0,419.01,3.88,22.15,0.84,79.6,0.05
18,64.08,0.02,98.0,2.0,97.0,1.0,0.0,0.0,481.94,4.34,19.73,0.87,69.19,0.06
19,73.85,0.0,100.0,0.0,100.0,0.0,0.0,0.0,368.31,5.46,21.19,0.62,70.79,0.06
20,70.86,0.0,100.0,0.0,100.0,0.0,0.0,0.0,379.62,8.54,19.5,0.78,65.5,0.05
21,60.39,0.0,100.0,0.0,100.0,0.0,0.0,0.0,425.02,12.94,20.44,0.76,143.42,0.05
22,59.84,0.0,100.0,0.0,100.0,0.0,0.0,0.0,385.28,24.8,15.99,0.82,102.5,0.05
23,57.52,0.0,100.0,0.0,99.0,1.0,0.0,0.0,488.89,19.84,16.25,0.86,120.58,0.06
24,65.13,0.0,100.0,0.0,100.0,0.0,0.0,0.0,386.74,16.0,20.78,0.79,95.92,0.05
25,73.87,0.0,100.0,0.0,100.0,0.0,0.0,0.0,400.53,4.34,21.48,0.79,52.5,0.06
26,73.93,0.0,100.0,0.0,100.0,0.0,0.0,0.0,395.88,4.0,17.08,0.76,52.0,0.05
27,74.01,0.0,100.0,0.0,100.0,0.0,0.0,0.0,370.64,7.06,20.7,0.62,70.55,0.06
28,70.3,0.0,100.0,0.0,100.0,0.0,0.0,0.0,388.74,3.26,22.2,0.8,84.5,0.06
29,70.06,0.0,100.0,0.0,100.0,0.0,0.0,0.0,417.5,9.56,22.54,0.73,82.5,0.06
30,68.02,0.0,100.0,0.0,100.0,0.0,0.0,0.0,389.92,4.0,16.81,0.86,92.38,0.05

