episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_fdd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,execution_time
1,52.46,0.0,100.0,0.0,90.0,10.0,0.0,0.0,472.21,20.8,19.75,0.71,0.06
2,53.67,0.02,98.0,2.0,91.0,7.0,0.0,0.0,445.97,22.38,22.24,0.54,0.06
3,36.23,0.11,89.0,11.0,10.0,79.0,0.0,0.0,461.09,19.2,12.81,0.71,0.1
4,60.83,0.01,99.0,1.0,91.0,8.0,0.0,0.0,411.12,8.92,23.18,0.62,0.06
5,52.36,0.0,100.0,0.0,92.0,8.0,0.0,0.0,518.84,9.76,21.22,0.8,0.06
6,60.41,0.0,100.0,0.0,96.0,4.0,0.0,0.0,411.72,7.64,23.27,0.72,0.06
7,49.77,0.0,100.0,0.0,93.0,7.0,0.0,0.0,477.81,19.36,25.54,0.79,0.06
8,59.05,0.0,100.0,0.0,92.0,8.0,0.0,0.0,430.75,8.28,19.97,0.62,0.06
9,57.18,0.01,99.0,1.0,89.0,10.0,0.0,0.0,425.26,11.29,23.14,0.67,0.06
10,60.13,0.0,100.0,0.0,95.0,5.0,0.0,0.0,383.45,8.41,23.95,0.62,0.06
11,56.15,0.0,100.0,0.0,97.0,3.0,0.0,0.0,466.38,21.16,21.81,0.62,0.06
12,58.54,0.01,99.0,1.0,93.0,6.0,0.0,0.0,427.21,4.66,18.9,0.72,0.06
13,56.43,0.01,99.0,1.0,91.0,8.0,0.0,0.0,464.28,8.7,17.98,0.75,0.06
14,59.56,0.01,99.0,1.0,93.0,6.0,0.0,0.0,403.93,6.66,22.36,0.65,0.06
15,61.09,0.01,99.0,1.0,90.0,9.0,0.0,0.0,331.84,7.95,18.37,0.73,0.06
16,65.95,0.0,100.0,0.0,94.0,6.0,0.0,0.0,432.71,7.82,25.62,0.49,0.06
17,62.56,0.0,100.0,0.0,97.0,3.0,0.0,0.0,473.15,4.54,23.25,0.58,0.06
18,55.07,0.01,99.0,1.0,87.0,12.0,0.0,0.0,463.74,7.08,19.62,0.74,0.06
19,63.93,0.0,100.0,0.0,91.0,9.0,0.0,0.0,445.28,8.1,22.73,0.56,0.06
20,62.97,0.0,100.0,0.0,97.0,3.0,0.0,0.0,449.66,6.37,25.4,0.52,0.05
21,47.93,0.01,99.0,1.0,87.0,12.0,0.0,0.0,512.57,20.53,21.34,0.65,0.06
22,61.07,0.0,100.0,0.0,97.0,3.0,0.0,0.0,449.1,12.03,20.74,0.54,0.05
23,51.86,0.01,99.0,1.0,92.0,7.0,0.0,0.0,501.37,17.54,22.77,0.67,0.06
24,55.58,0.0,100.0,0.0,96.0,4.0,0.0,0.0,439.81,20.9,24.22,0.64,0.06
25,38.41,0.12,88.0,12.0,26.0,62.0,0.0,0.0,409.41,18.46,13.9,0.63,0.09
26,50.27,0.06,94.0,6.0,34.0,60.0,0.0,0.0,378.66,4.3,10.36,0.79,0.09
27,60.36,0.0,100.0,0.0,94.0,6.0,0.0,0.0,421.02,7.46,23.83,0.71,0.06
28,57.82,0.0,100.0,0.0,93.0,7.0,0.0,0.0,488.74,16.36,24.06,0.57,0.06
29,53.68,0.0,100.0,0.0,92.0,8.0,0.0,0.0,440.26,16.12,24.9,0.68,0.06
30,51.95,0.04,96.0,4.0,87.0,9.0,0.0,0.0,450.59,9.22,18.04,0.73,0.06
