episode,ep_accepted_requests,ep_rejected_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,execution_time
1,211.0,39.0,666.54,28.88,13.91,0.29,0.26
2,201.0,49.0,555.6,9.6,14.11,0.7,0.64
3,228.0,22.0,654.43,25.27,13.4,0.24,0.38
4,234.0,16.0,576.59,18.23,16.4,0.48,0.28
5,249.0,1.0,602.77,18.72,18.2,0.77,0.27
6,214.0,36.0,520.73,38.68,10.93,0.65,0.29
7,239.0,11.0,403.32,38.84,14.79,0.67,0.31
8,211.0,39.0,688.81,32.62,13.54,0.28,0.33
9,237.0,13.0,421.52,21.56,18.77,0.41,0.29
