episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_fdd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,execution_time
1,51.28,0.0,100.0,0.0,100.0,0.0,0.0,0.0,371.82,16.0,17.26,0.88,0.05
2,53.84,0.0,100.0,0.0,100.0,0.0,0.0,0.0,318.33,28.0,18.8,0.68,0.05
3,59.19,0.0,100.0,0.0,100.0,0.0,0.0,0.0,398.22,4.0,21.39,0.79,0.15
4,59.8,0.0,100.0,0.0,100.0,0.0,0.0,0.0,291.4,4.0,20.39,0.86,0.05
5,54.72,0.0,100.0,0.0,100.0,0.0,0.0,0.0,438.87,4.0,20.92,0.88,0.05
6,59.04,0.0,100.0,0.0,100.0,0.0,0.0,0.0,336.45,3.82,18.93,0.85,0.05
7,50.46,0.0,100.0,0.0,100.0,0.0,0.0,0.0,397.77,16.0,22.29,0.87,0.05
8,64.61,0.0,100.0,0.0,100.0,0.0,0.0,0.0,288.57,2.48,18.46,0.76,0.05
9,58.28,0.0,100.0,0.0,100.0,0.0,0.0,0.0,330.91,4.0,19.03,0.88,0.05
10,66.24,0.0,100.0,0.0,100.0,0.0,0.0,0.0,354.25,2.98,20.04,0.63,0.05
11,62.13,0.0,100.0,0.0,100.0,0.0,0.0,0.0,345.44,2.68,18.75,0.76,0.05
12,60.21,0.0,100.0,0.0,100.0,0.0,0.0,0.0,389.77,2.7,17.9,0.76,0.05
13,54.76,0.0,100.0,0.0,100.0,0.0,0.0,0.0,371.54,14.62,18.14,0.83,0.05
14,59.3,0.0,100.0,0.0,100.0,0.0,0.0,0.0,364.53,3.5,18.16,0.82,0.05
15,65.11,0.0,100.0,0.0,100.0,0.0,0.0,0.0,334.89,2.5,20.31,0.68,0.05
16,64.77,0.0,100.0,0.0,100.0,0.0,0.0,0.0,315.91,2.8,20.37,0.7,0.05
17,62.74,0.0,100.0,0.0,100.0,0.0,0.0,0.0,344.55,3.96,18.56,0.74,0.05
18,52.89,0.0,100.0,0.0,100.0,0.0,0.0,0.0,494.07,4.0,20.11,0.88,0.05
19,56.37,0.0,100.0,0.0,100.0,0.0,0.0,0.0,388.99,4.0,21.41,0.88,0.05
20,61.73,0.0,100.0,0.0,100.0,0.0,0.0,0.0,352.71,2.82,20.58,0.76,0.05
21,54.22,0.0,100.0,0.0,100.0,0.0,0.0,0.0,433.11,10.7,22.57,0.79,0.05
22,56.03,0.0,100.0,0.0,100.0,0.0,0.0,0.0,418.64,9.5,16.62,0.79,0.05
23,53.37,0.0,100.0,0.0,100.0,0.0,0.0,0.0,405.39,14.78,20.44,0.77,0.05
24,53.64,0.0,100.0,0.0,100.0,0.0,0.0,0.0,322.0,16.0,21.55,0.86,0.05
25,60.78,0.0,100.0,0.0,100.0,0.0,0.0,0.0,377.8,2.78,20.95,0.75,0.06
26,59.31,0.0,100.0,0.0,100.0,0.0,0.0,0.0,383.96,4.0,17.39,0.77,0.05
27,60.7,0.0,100.0,0.0,100.0,0.0,0.0,0.0,337.81,3.4,19.77,0.81,0.05
28,62.23,0.0,100.0,0.0,100.0,0.0,0.0,0.0,350.81,2.8,21.93,0.74,0.05
29,55.09,0.0,100.0,0.0,100.0,0.0,0.0,0.0,363.32,16.84,21.79,0.72,0.05
30,56.52,0.0,100.0,0.0,100.0,0.0,0.0,0.0,384.47,4.0,16.85,0.88,0.05
