episode,ep_accepted_requests,ep_rejected_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,execution_time
1,250.0,0.0,688.36,6.88,20.94,0.82,0.24
2,250.0,0.0,511.54,4.0,15.86,0.88,0.25
3,250.0,0.0,377.06,4.0,18.85,0.88,0.27
4,250.0,0.0,456.44,4.05,18.98,0.87,0.28
5,250.0,0.0,462.67,4.0,20.49,0.88,0.27
6,250.0,0.0,500.64,4.0,18.43,0.87,0.27
7,250.0,0.0,526.28,4.04,21.24,0.87,0.25
8,250.0,0.0,513.39,5.82,18.11,0.84,0.26
9,250.0,0.0,690.69,9.81,19.17,0.75,0.28
10,250.0,0.0,439.17,4.05,19.17,0.87,0.25
