episode,ep_accepted_requests,ep_rejected_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,execution_time
1,211.0,39.0,658.26,9.33,13.15,0.17,0.08
2,216.0,34.0,652.71,8.91,13.0,0.16,0.09
3,227.0,23.0,652.81,9.39,12.2,0.14,0.09
4,221.0,29.0,635.33,9.91,14.68,0.18,0.1
5,223.0,27.0,628.7,9.52,12.97,0.26,0.1
6,222.0,28.0,638.21,9.65,13.83,0.13,0.08
7,229.0,21.0,634.15,9.87,13.05,0.19,0.08
8,223.0,27.0,640.18,9.91,12.38,0.13,0.09
9,213.0,37.0,635.01,9.77,13.38,0.15,0.08
10,218.0,32.0,637.16,9.61,13.65,0.22,0.09
11,219.0,31.0,643.01,9.79,12.87,0.18,0.09
12,216.0,34.0,640.47,9.71,14.64,0.13,0.09
13,215.0,35.0,638.65,9.72,12.12,0.21,0.08
14,224.0,26.0,642.04,9.86,12.86,0.21,0.08
15,217.0,33.0,638.55,9.75,13.9,0.17,0.09
16,219.0,31.0,641.48,9.77,14.5,0.13,0.08
17,220.0,30.0,647.07,9.73,13.52,0.16,0.08
18,226.0,24.0,650.51,9.68,13.11,0.17,0.09
19,219.0,31.0,648.26,9.64,12.22,0.19,0.08
20,222.0,28.0,649.19,9.56,12.2,0.19,0.09
21,222.0,28.0,645.88,9.64,11.95,0.22,0.09
22,227.0,23.0,646.27,9.68,13.95,0.11,0.13
23,214.0,36.0,646.06,9.73,12.81,0.16,0.11
24,219.0,31.0,644.46,9.69,12.83,0.21,0.09
25,220.0,30.0,648.16,9.68,13.96,0.15,0.08
26,221.0,29.0,649.35,9.77,13.42,0.18,0.08
27,220.0,30.0,651.08,9.71,13.73,0.22,0.08
28,218.0,32.0,651.36,9.69,13.97,0.17,0.08
29,215.0,35.0,654.82,9.69,13.53,0.14,0.08
30,215.0,35.0,655.29,9.67,12.35,0.17,0.08
