episode,ep_accepted_requests,ep_rejected_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,avg_power,execution_time,test,algorithm,cluster,replicas,config,acceptance_rate
28,250.0,0.0,497.52,30.85,25.2,0.8,66.0,0.6,PQL_c8_r4,PQL,8,4,c8_r4,1.0
29,250.0,0.0,495.74,30.98,23.27,0.88,67.63,0.48,PQL_c8_r4,PQL,8,4,c8_r4,1.0
30,250.0,0.0,521.37,31.07,23.42,0.87,69.42,0.48,PQL_c8_r4,PQL,8,4,c8_r4,1.0
1,250.0,0.0,555.58,60.67,20.61,0.86,100.22,0.71,PQL_c8_r6,PQL,8,6,c8_r6,1.0
2,250.0,0.0,594.02,62.21,18.05,0.85,90.56,1.19,PQL_c8_r6,PQL,8,6,c8_r6,1.0
3,250.0,0.0,563.37,56.69,21.79,0.78,91.92,0.68,PQL_c8_r6,PQL,8,6,c8_r6,1.0
4,250.0,0.0,534.91,51.92,25.31,0.71,86.47,0.69,PQL_c8_r6,PQL,8,6,c8_r6,1.0
5,250.0,0.0,548.59,52.94,22.91,0.84,97.49,0.52,PQL_c8_r6,PQL,8,6,c8_r6,1.0
6,250.0,0.0,525.66,52.15,22.26,0.79,90.1,0.48,PQL_c8_r6,PQL,8,6,c8_r6,1.0
7,250.0,0.0,501.48,53.77,16.02,0.87,85.0,0.61,PQL_c8_r6,PQL,8,6,c8_r6,1.0
8,249.0,1.0,511.03,52.57,22.46,0.77,110.42,0.47,PQL_c8_r6,PQL,8,6,c8_r6,0.996
9,250.0,0.0,503.15,51.98,22.05,0.79,87.47,0.54,PQL_c8_r6,PQL,8,6,c8_r6,1.0
10,250.0,0.0,548.59,52.94,22.91,0.84,97.49,0.52,PQL_c8_r6,PQL,8,6,c8_r6,1.0
11,189.0,61.0,676.9,49.23,19.95,0.82,71.5,0.65,PQL_c8_r6,PQL,8,6,c8_r6,0.756
12,193.0,57.0,555.24,49.59,22.87,0.82,97.76,0.58,PQL_c8_r6,PQL,8,6,c8_r6,0.772
13,250.0,0.0,566.97,55.24,17.83,0.87,76.87,0.48,PQL_c8_r6,PQL,8,6,c8_r6,1.0
14,249.0,1.0,522.32,56.95,22.05,0.85,71.5,0.49,PQL_c8_r6,PQL,8,6,c8_r6,0.996
15,250.0,0.0,496.97,58.51,17.54,0.87,85.29,0.54,PQL_c8_r6,PQL,8,6,c8_r6,1.0
16,230.0,20.0,494.09,56.52,19.98,0.81,96.61,0.57,PQL_c8_r6,PQL,8,6,c8_r6,0.92
17,248.0,2.0,469.86,57.67,17.8,0.88,71.5,0.49,PQL_c8_r6,PQL,8,6,c8_r6,0.992
18,250.0,0.0,449.27,58.43,18.11,0.86,87.49,0.49,PQL_c8_r6,PQL,8,6,c8_r6,1.0
19,250.0,0.0,450.17,53.62,29.29,0.82,72.25,1.19,PQL_c8_r6,PQL,8,6,c8_r6,1.0
20,209.0,41.0,511.3,53.0,15.61,0.87,85.0,0.45,PQL_c8_r6,PQL,8,6,c8_r6,0.836
21,250.0,0.0,490.18,15.95,37.83,0.87,51.24,0.51,PQL_c8_r6,PQL,8,6,c8_r6,1.0
22,250.0,0.0,469.44,15.95,37.16,0.87,51.18,0.51,PQL_c8_r6,PQL,8,6,c8_r6,1.0
23,250.0,0.0,472.76,15.95,35.94,0.77,52.48,1.06,PQL_c8_r6,PQL,8,6,c8_r6,1.0
24,250.0,0.0,531.44,15.96,38.0,0.88,51.12,0.52,PQL_c8_r6,PQL,8,6,c8_r6,1.0
25,191.0,59.0,535.36,15.96,32.27,0.87,49.5,0.47,PQL_c8_r6,PQL,8,6,c8_r6,0.764
26,250.0,0.0,516.35,15.95,39.97,0.87,62.5,0.5,PQL_c8_r6,PQL,8,6,c8_r6,1.0
27,149.0,101.0,502.4,14.95,33.7,0.74,49.75,1.05,PQL_c8_r6,PQL,8,6,c8_r6,0.596
28,204.0,46.0,507.17,15.07,30.35,0.87,51.22,0.47,PQL_c8_r6,PQL,8,6,c8_r6,0.816
29,250.0,0.0,507.97,15.17,36.5,0.87,52.92,0.54,PQL_c8_r6,PQL,8,6,c8_r6,1.0
30,235.0,15.0,514.7,15.24,29.83,0.87,51.34,0.52,PQL_c8_r6,PQL,8,6,c8_r6,0.94
1,228.0,22.0,494.78,31.86,39.17,0.88,77.65,0.35,PQL_c8_r8,PQL,8,8,c8_r8,0.912
2,227.0,23.0,471.39,28.0,40.59,0.75,76.81,0.66,PQL_c8_r8,PQL,8,8,c8_r8,0.908
3,238.0,12.0,502.17,23.74,41.33,0.76,75.86,0.46,PQL_c8_r8,PQL,8,8,c8_r8,0.952
4,227.0,23.0,495.32,28.36,36.99,0.79,76.6,0.42,PQL_c8_r8,PQL,8,8,c8_r8,0.908
5,230.0,20.0,471.91,29.07,41.77,0.87,104.08,0.37,PQL_c8_r8,PQL,8,8,c8_r8,0.92
6,231.0,19.0,508.72,29.54,41.63,0.87,77.72,0.33,PQL_c8_r8,PQL,8,8,c8_r8,0.924
7,226.0,24.0,515.37,27.41,38.48,0.78,75.83,0.42,PQL_c8_r8,PQL,8,8,c8_r8,0.904
8,225.0,25.0,513.77,27.84,41.13,0.86,75.5,0.28,PQL_c8_r8,PQL,8,8,c8_r8,0.9
9,229.0,21.0,513.59,27.87,36.0,0.77,88.07,0.51,PQL_c8_r8,PQL,8,8,c8_r8,0.916
10,229.0,21.0,508.44,28.28,40.22,0.88,75.5,0.29,PQL_c8_r8,PQL,8,8,c8_r8,0.916
11,250.0,0.0,361.02,63.76,24.37,0.87,152.82,0.51,PQL_c8_r8,PQL,8,8,c8_r8,1.0
12,250.0,0.0,499.27,63.76,21.83,0.87,97.52,0.57,PQL_c8_r8,PQL,8,8,c8_r8,1.0
13,250.0,0.0,487.72,63.78,24.64,0.87,108.89,0.62,PQL_c8_r8,PQL,8,8,c8_r8,1.0
14,250.0,0.0,489.62,63.8,21.76,0.87,98.73,0.49,PQL_c8_r8,PQL,8,8,c8_r8,1.0
15,250.0,0.0,483.84,63.84,23.52,0.75,109.2,0.66,PQL_c8_r8,PQL,8,8,c8_r8,1.0
16,250.0,0.0,502.44,60.33,38.99,0.69,98.88,1.12,PQL_c8_r8,PQL,8,8,c8_r8,1.0
17,250.0,0.0,519.92,60.85,23.51,0.87,107.26,0.45,PQL_c8_r8,PQL,8,8,c8_r8,1.0
18,250.0,0.0,538.97,61.25,22.93,0.88,152.63,0.42,PQL_c8_r8,PQL,8,8,c8_r8,1.0
19,250.0,0.0,541.63,61.54,24.64,0.87,109.43,0.48,PQL_c8_r8,PQL,8,8,c8_r8,1.0
20,250.0,0.0,533.93,61.76,23.75,0.87,109.57,0.56,PQL_c8_r8,PQL,8,8,c8_r8,1.0
21,233.0,17.0,516.75,32.0,40.04,0.87,88.1,0.35,PQL_c8_r8,PQL,8,8,c8_r8,0.932
22,250.0,0.0,543.03,33.34,44.71,0.85,113.19,0.97,PQL_c8_r8,PQL,8,8,c8_r8,1.0
23,230.0,20.0,585.12,32.91,42.39,0.88,113.26,0.53,PQL_c8_r8,PQL,8,8,c8_r8,0.92
24,221.0,29.0,558.5,36.36,32.56,0.75,94.81,0.88,PQL_c8_r8,PQL,8,8,c8_r8,0.884
25,237.0,13.0,555.39,35.48,41.45,0.87,88.13,0.74,PQL_c8_r8,PQL,8,8,c8_r8,0.948
26,225.0,25.0,532.64,34.94,37.15,0.87,88.42,0.51,PQL_c8_r8,PQL,8,8,c8_r8,0.9
27,235.0,15.0,532.08,34.52,40.02,0.88,86.74,0.56,PQL_c8_r8,PQL,8,8,c8_r8,0.94
28,231.0,19.0,533.62,34.2,41.9,0.87,88.07,0.57,PQL_c8_r8,PQL,8,8,c8_r8,0.924
29,238.0,12.0,534.66,33.95,38.09,0.87,86.58,0.42,PQL_c8_r8,PQL,8,8,c8_r8,0.952
30,223.0,27.0,540.01,33.76,41.22,0.88,88.1,0.47,PQL_c8_r8,PQL,8,8,c8_r8,0.892
