episode,ep_accepted_requests,ep_rejected_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,avg_power,execution_time,test,algorithm,cluster,replicas,config,acceptance_rate
19,226.0,24.0,534.44,42.07,20.08,0.22,106.0,0.36,Geometric_c8_r6,Geometric,8,6,c8_r6,0.904
20,247.0,3.0,522.44,40.79,27.59,0.54,106.24,0.26,Geometric_c8_r6,Geometric,8,6,c8_r6,0.988
21,233.0,17.0,592.45,18.41,31.75,0.48,67.73,0.27,Geometric_c8_r6,Geometric,8,6,c8_r6,0.932
22,207.0,43.0,577.35,21.98,21.09,0.35,65.5,1.06,Geometric_c8_r6,Geometric,8,6,c8_r6,0.828
23,223.0,27.0,592.9,21.05,23.64,0.24,66.66,0.71,Geometric_c8_r6,Geometric,8,6,c8_r6,0.892
24,217.0,33.0,582.45,18.29,34.6,0.53,71.16,0.38,Geometric_c8_r6,Geometric,8,6,c8_r6,0.868
25,250.0,0.0,586.85,20.83,34.72,0.6,67.07,0.33,Geometric_c8_r6,Geometric,8,6,c8_r6,1.0
26,247.0,3.0,581.77,18.86,34.48,0.82,65.77,0.51,Geometric_c8_r6,Geometric,8,6,c8_r6,0.988
27,221.0,29.0,572.7,17.91,28.87,0.37,65.5,0.35,Geometric_c8_r6,Geometric,8,6,c8_r6,0.884
28,197.0,53.0,578.2,17.73,35.2,0.6,65.59,0.45,Geometric_c8_r6,Geometric,8,6,c8_r6,0.788
29,186.0,64.0,581.5,17.45,32.59,0.71,67.99,0.25,Geometric_c8_r6,Geometric,8,6,c8_r6,0.744
30,247.0,3.0,587.46,19.74,29.67,0.6,67.6,0.26,Geometric_c8_r6,Geometric,8,6,c8_r6,0.988
1,149.0,101.0,516.46,13.75,30.47,0.66,96.65,0.27,Geometric_c8_r8,Geometric,8,8,c8_r8,0.596
2,191.0,59.0,479.79,32.26,21.85,0.55,96.78,0.38,Geometric_c8_r8,Geometric,8,8,c8_r8,0.764
3,170.0,80.0,430.24,32.04,23.48,0.53,96.6,0.39,Geometric_c8_r8,Geometric,8,8,c8_r8,0.68
4,71.0,179.0,434.79,35.81,41.17,0.76,96.5,0.26,Geometric_c8_r8,Geometric,8,8,c8_r8,0.284
5,135.0,115.0,446.79,36.83,22.22,0.78,98.08,0.23,Geometric_c8_r8,Geometric,8,8,c8_r8,0.54
6,155.0,95.0,458.3,34.56,29.43,0.63,96.61,0.3,Geometric_c8_r8,Geometric,8,8,c8_r8,0.62
7,191.0,59.0,439.77,39.64,15.63,0.74,106.56,0.26,Geometric_c8_r8,Geometric,8,8,c8_r8,0.764
8,170.0,80.0,418.46,39.03,21.09,0.34,96.64,0.33,Geometric_c8_r8,Geometric,8,8,c8_r8,0.68
9,212.0,38.0,400.23,40.85,23.68,0.67,98.08,0.29,Geometric_c8_r8,Geometric,8,8,c8_r8,0.848
10,199.0,51.0,407.45,43.57,19.21,0.71,107.19,0.21,Geometric_c8_r8,Geometric,8,8,c8_r8,0.796
11,214.0,36.0,400.87,4.1,40.92,0.68,45.02,0.24,Geometric_c8_r8,Geometric,8,8,c8_r8,0.856
12,229.0,21.0,467.83,8.83,40.24,0.72,45.0,0.25,Geometric_c8_r8,Geometric,8,8,c8_r8,0.916
13,220.0,30.0,433.94,7.52,30.66,0.33,44.36,0.38,Geometric_c8_r8,Geometric,8,8,c8_r8,0.88
14,206.0,44.0,434.22,7.27,34.51,0.35,45.03,0.3,Geometric_c8_r8,Geometric,8,8,c8_r8,0.824
15,210.0,40.0,441.44,6.66,38.05,0.55,44.0,0.25,Geometric_c8_r8,Geometric,8,8,c8_r8,0.84
16,210.0,40.0,441.08,7.55,31.77,0.31,44.11,0.33,Geometric_c8_r8,Geometric,8,8,c8_r8,0.84
17,200.0,50.0,475.3,8.63,35.27,0.69,46.18,0.25,Geometric_c8_r8,Geometric,8,8,c8_r8,0.8
18,207.0,43.0,466.34,9.75,39.55,0.69,44.14,0.26,Geometric_c8_r8,Geometric,8,8,c8_r8,0.828
19,206.0,44.0,465.13,9.13,36.88,0.73,45.44,0.25,Geometric_c8_r8,Geometric,8,8,c8_r8,0.824
20,207.0,43.0,477.54,8.65,36.97,0.44,44.36,0.31,Geometric_c8_r8,Geometric,8,8,c8_r8,0.828
21,225.0,25.0,648.38,15.57,36.8,0.51,90.55,0.42,Geometric_c8_r8,Geometric,8,8,c8_r8,0.9
22,226.0,24.0,557.69,26.78,26.83,0.7,99.95,0.34,Geometric_c8_r8,Geometric,8,8,c8_r8,0.904
23,230.0,20.0,619.33,27.92,28.27,0.24,89.89,0.42,Geometric_c8_r8,Geometric,8,8,c8_r8,0.92
24,234.0,16.0,638.42,29.8,35.06,0.7,91.89,0.64,Geometric_c8_r8,Geometric,8,8,c8_r8,0.936
25,231.0,19.0,654.58,30.58,31.93,0.56,93.31,0.42,Geometric_c8_r8,Geometric,8,8,c8_r8,0.924
26,219.0,31.0,672.32,28.45,35.29,0.57,118.09,0.56,Geometric_c8_r8,Geometric,8,8,c8_r8,0.876
27,218.0,32.0,666.56,29.61,29.12,0.61,89.88,0.38,Geometric_c8_r8,Geometric,8,8,c8_r8,0.872
28,236.0,14.0,665.03,30.52,29.38,0.39,99.55,0.41,Geometric_c8_r8,Geometric,8,8,c8_r8,0.944
29,233.0,17.0,668.21,30.07,26.55,0.45,145.58,0.37,Geometric_c8_r8,Geometric,8,8,c8_r8,0.932
30,241.0,9.0,557.08,35.85,27.52,0.33,95.02,0.36,Geometric_c8_r8,Geometric,8,8,c8_r8,0.964
1,224.0,26.0,733.43,26.14,12.88,0.14,56.5,0.1,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.896
2,228.0,22.0,669.99,24.36,14.7,0.24,56.5,0.1,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.912
3,220.0,30.0,656.15,24.46,12.35,0.19,56.5,0.1,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.88
4,220.0,30.0,667.74,24.38,15.19,0.31,56.62,0.1,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.88
5,232.0,18.0,673.52,24.66,15.54,0.19,56.5,0.09,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.928
6,224.0,26.0,671.04,24.73,14.5,0.16,58.74,0.09,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.896
7,229.0,21.0,674.57,24.75,12.46,0.14,59.01,0.09,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.916
8,215.0,35.0,673.46,24.93,14.25,0.16,59.77,0.09,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.86
9,224.0,26.0,671.65,25.01,13.29,0.19,56.5,0.1,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.896
10,226.0,24.0,667.86,24.95,13.89,0.19,58.72,0.1,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.904
11,224.0,26.0,671.89,25.09,12.2,0.22,56.53,0.09,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.896
12,221.0,29.0,673.72,25.19,15.11,0.2,57.15,0.09,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.884
13,223.0,27.0,678.57,25.12,13.26,0.25,60.17,0.09,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.892
14,232.0,18.0,681.3,25.07,11.31,0.21,56.5,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.928
15,233.0,17.0,682.16,25.08,15.07,0.2,56.5,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.932
16,221.0,29.0,678.16,25.05,13.87,0.2,57.24,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.884
17,222.0,28.0,677.59,25.12,13.3,0.11,57.54,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.888
18,232.0,18.0,679.55,25.02,14.08,0.23,59.02,0.18,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.928
19,222.0,28.0,679.56,25.04,13.43,0.21,56.58,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.888
20,230.0,20.0,679.31,25.03,12.3,0.19,56.5,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.92
21,228.0,22.0,681.8,25.03,13.63,0.14,56.5,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.912
22,227.0,23.0,677.97,25.03,12.86,0.14,58.55,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.908
23,229.0,21.0,680.74,24.97,13.41,0.21,56.5,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.916
24,223.0,27.0,680.42,25.02,13.23,0.14,56.5,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.892
25,228.0,22.0,679.35,25.01,14.2,0.19,57.4,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.912
26,229.0,21.0,680.34,24.97,11.83,0.26,56.5,0.09,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.916
27,220.0,30.0,681.36,24.97,13.99,0.23,56.5,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.88
28,227.0,23.0,678.62,25.0,13.76,0.2,56.5,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.908
29,230.0,20.0,675.99,24.92,15.27,0.26,56.5,0.09,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.92
30,226.0,24.0,675.97,24.92,14.06,0.22,56.52,0.08,MPMOQ_c8_r4,MPMOQ,8,4,c8_r4,0.904
1,214.0,36.0,662.33,24.18,15.94,0.21,74.53,0.13,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.856
2,214.0,36.0,668.4,22.98,14.93,0.21,71.41,0.14,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.856
3,215.0,35.0,671.26,22.36,15.31,0.14,71.0,0.09,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.86
4,220.0,30.0,680.29,22.25,15.31,0.19,71.0,0.09,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.88
5,216.0,34.0,660.37,22.0,13.75,0.12,71.79,0.11,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.864
6,213.0,37.0,667.3,22.39,15.93,0.24,71.12,0.1,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.852
7,217.0,33.0,672.92,22.15,15.72,0.21,71.0,0.11,MPMOQ_c8_r6,MPMOQ,8,6,c8_r6,0.868
